sentence,length
kpai aboke̩le̩ unyiwñ du tabo ku ma bi unyiwñ tabo ku ma do̩ko̩ la kwo̩wo̩ ononojo ma fabo le̩ e̩pi da kpai owñ,111
ebraham chamonuche̩ o̩jo̩ ojo,29
taku jihofa kwotejugede ñw u ugbo oli te̩re̩bint emamre abu ki gugu alugbo̩na unyabowñ e̩gba kolu ada o̩ro̩ka,109
oñ i chi ejuwñ nyate̩ ago me̩ go aboke̩le̩ me̩ta dago jo̩gbawñ tak e̩gba ki fuma li i fule kwalugbo̩na unyabo le̩ ledo ma oñ i te̩kpe̩ wane̩ ñwu ma,147
i kakini odumi iche̩wñ ke̩ lumi eju nagbo̩ko̩buwe̩ e̩ ki lale gu aduwe̩i du n,77
e̩ je̩ ñwu ma che omiofo wa pe̩ ku me̩ gwe̩ e̩re̩me̩ ku me̩ ñmi ofolii,70
oñ naduje̩wñ wa pe̩ ko̩lame̩ ki ruko ubi le̩ tak ame̩ ale gudu—todabu ku me̩ wugbo adume̩i oñ ma kakini mak e̩ che alu ke̩ ka ke,128
tak ebraham hiane̩ tef unyabo ugbo sara oñ i kakini e fe̩ñwa omu me̩ta fo̩ piopio ke̩ fu nu ke̩ mu du che akala,111
tak ebraham fule nyugbo ujo̩ amokuno̩wñ oñ i mo̩ma okuno̩ o̩ko̩ ka ke̩lawñ chemele ki la chenyo̩ du tak i mu du ñw imo̩to̩wñ oñ e̩le̩ hika chuko̩lo̩wñ,150
tak i mokume̩ agwe kpai omi e̩nyokuno̩ kpai o̩ma okuno̩ eo̩ko̩ ki chuko̩lo̩wñ le̩ ko oñ i mu ko gugu o̩gbama tak i kwo dago ugbo ma of oli le̩ ma la je̩,152
taku ma ka ñw u kakini ugbo sara o̩yawe̩ de̩ oñ i kakini go i def unyabo le̩,76
tak i kakini nadabi wa ugbowe̩ ikoi o̩do̩ omune̩ chuu e̩ la go sara o̩yawe̩ abi o̩ma e̩ne̩ke̩le̩ sara la dalugbo̩na unyabo eki dubigbo̩ le̩ agbo̩,145
ebraham kpai sara la chogijo ma wa kpo̩kpe̩ me̩ alu kabobule̩ ache le̩ esara la muda,84
taku sara kwonyanyi nyekuma i kakini abu ku chogijoi nali ejilei odumi laño̩ chogijo,84
taku jihofa ka ñwu ebraham kakini e̩wñ chi ki sara nyanyi ki kakini u ñabi o̩ma ab u chogijoi ochochi,101
e̩wñka do̩mo̩ ki firu jihofa iko ku da le̩ nadabi wugbo we̩ owñ chikoi o̩do̩ omune̩ oñ sara ane̩ o̩ma e̩ne̩ke̩le̩,113
taku sara re̩ kakini omi nyanyi no todu i chokpo tak e̩ne̩ le̩ kakini o̩da uwe̩ nyanyi gbo,90
ebraham fologu so̩do̩m che,26
tak aboke̩le̩ le̩ kwane̩ o̩mo̩ oñ ma meju koro̩wo̩ so̩do̩m tak ebraham fahite̩ma che,84
oñ jihofa kakini e̩wñ ku nache nadu maja ñw ebraham,51
abu kebraham achuche̩ichi amone̩ ki nana ki nukpahiu kuche̩ichi amone̩ du ane̩ile̩i ali e̩nyo̩ lefuwñ,101
todu u chema owñ ka kowñ che̩ne̩ ki añwa ñw abimo̩to̩wñ kpai abo unyiwñ ubi owñ kama ki de o̩na jihofa ku ma che e̩wñ o̩kpakpa kpai oj ajo̩ ki dute̩ todu ki jihofa ki de̩wñ ki ko̩lawñ le̩ wa ñw ebraham,201
taku jihofa kakini ochochi ukwa so̩do̩m kpai go̩mo̩ra chenana adurema la gbe̩gbe̩,81
fai nanyo̩mo̩ ku li abe̩k e̩wñ ku ma chei likpa alu kukwawñ ki wugbo mi le̩ de̩ i ma dabe̩le̩ n u ma,100
tak aboke̩le̩ le̩ murida kwo̩mo̩ oñ ma le ro̩wo̩ so̩do̩m ebraham muda dago o̩gba jihofa waa,91
tak ebraham te̩ me̩ru oñ i kakini e̩ ñafabo̩kpakpa lie̩ manyu ame̩ne̩bibi,73
ikani abo̩kpakpa ooje jef ewo le̩ fa uwe̩ afu lie̩ ke̩ ma la do̩wo̩mo̩ ugbo kide̩ todu abo̩kpakpa ooje ku ma jefuwñ n,117
o̩la abe̩i eche ki jiji ruwe̩ ke̩ kpa ame̩no̩kpakpa manyu ame̩ne̩bibi kame̩no̩kpakpa ki dabalu kame̩ne̩bibi de̩ e le̩ ki jiji ruwe̩ akajo̩ ane̩ile̩ du ache̩wñ toji ajo̩ ki dute̩ n,179
taku jihofa kakini iche̩wñ ku li ame̩no̩kpakpa ooje ef ewo so̩do̩m le̩ e̩gba le̩ natugbo kide̩ no̩ chaka todu ma,112
tak ebraham dohi kakini go ta ibenu naje̩ ku ko̩la ñw ondui omi ku chebutu kpai elulu,85
ikani e̩lu chi kwef ame̩no̩kpakpa ooje le̩ fa e̩ kpewo le̩ bie̩ chaka tod e̩lu ki chi le̩ tak i kakini iche̩wñ ku fone̩ o̩gbo̩ meji nyoke me̩lu li o̩mo̩ nakpo̩ bie̩ n,166
oñ i nako̩la ñw u waa kakini ikani ma fone̩ o̩gbo̩ meji li o̩mo̩ fa i kakini nache n todu one̩ o̩gbo̩ meji le̩,110
tak i kakini o̩la ku nakai i ki bi ondu eju n ikani ma fone̩ ogue̩gwa li o̩mo̩ fa oñ i kakini iche̩wñ ku fone̩ ogue̩gwa li o̩mo̩ nache n,136
tak i kakini e̩ go ibenu naje̩ ku ko̩la ñw ondui ikani ma fone̩ ogu li o̩mo̩ fa oñ i kakini nakpo̩ bie̩ n todu one̩ ogu le̩,123
tak i kakini i ki bi ondu eju n ku nako̩la onukate ta ikani ma fone̩ me̩gwa li o̩mo̩ fa oñ i kakini nakpo̩ bie̩ n todu one̩ me̩gwa le̩,134
taku jihofa le̩ owñ abu ki foluka che kpai ebraham kpa oñ ebraham mudabi te̩guwñ,80
lo̩t chamonuche̩ o̩jo̩ meji ojo so̩do̩m o̩mo̩,45
oñ amonuche̩ meji le̩ lewa so̩do̩m e̩gbane̩ lo̩t la gugu alaku so̩do̩m taku lo̩t fuma li oñ i kwane̩ ledo ma i te̩kpe̩ i doji lo̩,129
oñ i kakini me̩ go ta amodumi nagbo̩ko̩bume̩ me̩ na tunyi adume̩i ku me̩ le̩ ku me̩ fe̩re̩me̩ gwe̩ taku me̩ takpa kwane̩ odudu ku me̩ lo me̩ oñ ma kakini o̩da a ale̩ ñw o̩jo̩ opee o̩do̩da emi,191
i la kute̩ ma nana taku ma na wugbowñ oñ ma mugudu tef unyiwñ tak i fo̩je̩ ojo hi ñwu ma i la fakala ko̩jo̩wu ma do̩ n che oñ ma je̩,132
o̩gba taku ma nyadachi aboke̩le̩ ewo le̩ donyunyi le̩ daka owñ chaboke̩le̩ so̩do̩m le̩ timo̩to̩ togijo o̩chaka amone̩ kwugbo du wa,130
taku ma nomudala do̩ lo̩t ma ka ñw u kakini aboke̩le̩ ku ma gudu wugbowe̩ ane̩i ugbo ma de̩ ke muma kodufu wugbowa ka ma ma,123
taku lo̩t ledufu wugbo ma alugbo̩na oñ i fo̩na re ubiwñ i kakini,64
nagbo̩ko̩bume̩ amo̩mayemi me̩ ki che e̩wñ bibi abe̩i n,54
me̩ go ta u chenamo̩ma onobule̩ meji ku ma ma me̩ne̩ke̩le̩ n agba me̩ je̩ ñwu mi ko ma dufu wugbome̩ ku me̩ che ma alu ki rume̩ eju i cheaboke̩le̩i me̩ ki che ma abu du n todabu ku mu ma gbanyi me̩,197
taku ma kakini te̩ubi oñ ma kakini e̩ne̩ katei lewa emi ki ge̩ne̩ oñ i ache ki do̩lawñ chakajo̩wa fai eka chuwe̩ abie̩ne̩ teka che abo le̩ le oñ ma ke̩che̩ be̩ne̩ le̩ ma bie̩ne̩ bie̩ne̩ owñ che lo̩t le̩ oñ ma hi me̩ru ku ma kpolugbo̩na le̩ fo̩,243
ama aboke̩le̩ le̩ no̩wo̩ dala dufu oñ ma mu lo̩t du wef unyi ugboma taku ma fo̩na re,84
taku ma faboke̩le̩ ku ma jo̩ alugbo̩na unyi le̩ eju chubi tekekele telile abe̩le̩ etene alugbo̩na le̩ fuma hia,110
ma gu so̩do̩m kpai go̩mo̩ra jo lo̩t mufu tane̩,46
tak aboke̩le̩ le̩ ka ñwu lo̩t kakini uwe̩ ne̩ne̩ du emi tame̩i le o̩ko̩ o̩mawe̩ kpai amo̩mawe̩ eaboke̩le̩ kpai eabobule̩ kpai e̩ne̩ du ke̩ ne̩ ewoi muma ko kwemi dufu,166
todu a che ka akpemii bie̩ todu ukwama chenana ugbo jihofa jihofa la fuwa kpe̩ wa ka fu kpabie̩,95
taku lo̩t ledufu ako̩la ñw abo ku ma ne̩ amo̩mawñ oñ i kakini kwane̩ me̩ kwemi dufu todu jihofa ache ki kpewoi bie̩ ama eju amo̩ko̩ amo̩mawñ i dabe̩ne̩ kiyachi i ache,166
tak e̩gba ko̩jo̩ ñwa amonuche̩ le̩ nu lo̩t aju ma kakini kwane̩ mo̩yawe̩ kpai amo̩mawe̩ onobule̩ meji ku ma jemi ko tode̩gba ku ma fuwe̩ lie̩ ef udu ku ma bu ñw ewoi,165
i muda fiñelebu che tak aboke̩le̩ le̩ gwo̩nyu o̩wo̩ kpai o̩wo̩ o̩yawñ kpai o̩wo̩ amo̩mawñ onobule̩ meji le̩ abu ki jihofa lejumomiwñ oñ ma mowñ du dufu ma mu du gugu ej o̩do̩da ewo le̩,184
oñ i lewatu abu ku ma muma ko wo̩do̩da i kakini ra lo tod ojiwe̩ e̩ ki dej ubi n e̩ ki dago ugbo du egbilii n ra tugbo uwo le̩ tode̩gba ku ma fuwe̩ lie̩,152
taku lo̩t ka ñwu ma kakini aiya i ki dabe̩le̩ n ondumi,54
go ta aduwe̩i mud e̩ne̩ kuwe̩ li eju uwe̩ je̩ ñw ufe̩do̩e̩nyo̩we̩ nana me̩ owñ cheke̩ du ña mi ejadu ke̩ jadu ojimii u la neke ra tugbo uwo le̩ n tode̩gba ke̩wñ bie̩ne̩ ke̩re̩bumi ku naku,187
go ta ewo o̩mo̩i cheme̩ro̩wo̩ ku nara tefuwñ i la de̩ ke̩ke̩ je̩ ñwu mi ra to̩mo̩—i de̩ ke̩ke̩ n—tak onugomi adeju,114
tak i ka ñw u kakini go e̩wñ ke̩ kai omi ño̩ mugba ge̩ ka ku nagu ewo ke̩ ko̩lawñ le̩ lo̩ n,91
hiane̩ ke̩ ra to̩mo̩ todu u neke che e̩wñ du gbogbo tak e̩ wo̩mo̩ n todule̩ ma dodu ewo le̩ ko̩ zoar,100
olu kwodufu afu bile̩ ma e̩gba ku lo̩t lewa zoar,48
e̩gbale̩ jihofa je̩ ñw itolu kpai una lo̩ kwugbo jihofa kwefojale bo̩ so̩do̩m kpai go̩mora ma,93
oñ i fewo ewo le̩ gulo̩ kpai egbili le̩ du kpai amone̩ ku ma jewo ewo le̩ kpai e̩wñ du ki tiga ane̩pe̩te̩,105
o̩yawñ ki dubiwñ muda dejubi go oñ i mud ugbudu omu dago,56
ebraham la kwane̩ odudu odudu i nyugbo ki dago o̩gba jihofa le̩,63
oñ i kejuro̩wo̩ so̩do̩m kpai go̩mo̩ra kpai o̩wo̩ ane̩ egbili le̩ du i la go me̩ go odudu ane̩ le̩ akwane̩ tate̩ tuu dabe̩ne̩ kodudu aido,136
oñ i lewatu e̩gba ko̩jo̩ fewo ewo egbili le̩ kpabie̩ o̩jo̩ libekado ebraham oñ i mu lo̩t dudufu kwalumeji e̩gulo̩ le̩ e̩gba ki fewo ewo ku lo̩t dodo efuwñ le̩ gulo̩,164
taku lo̩t mute̩gu kwo zoar dufu oñ i lewa dodo oj uwo le̩ amo̩mawñ onobule̩ meji la jugbowñ todu i railo edodo zoar abe̩le̩ i gugu ef owo owñ kpai amo̩mawñ onobule̩ meji le̩,173
tak o̩mo̩gbawñ ka ñw okekelewñ kakini atawa chogijo me̩ e̩ne̩ke̩le̩ du la dile̩ ki awejefu ugbo wa alu kabo ile̩ du ache n,122
lewa ka je̩ ñw atawa ñmo̩te̩ tak a abo̩ dachi ka nugbe̩ tane̩ ñw atawa,70
taku ma je̩ ñw atama ñmo̩te̩ odu o̩jo̩ le̩ oñ o̩mo̩gba le̩ le tejefu i la batawñ dachi lo̩t la ma e̩gba ki dachi abe̩k e̩gba ki kwane̩ n,136
oñ i lewatu o̩jo̩ñwawñ o̩mo̩gba le̩ ka ñw okekelewñ kakini go u batami dachi odu o̩nale̩ a ñaje̩ ñw u ñmo̩te̩ odu eñini ge̩ tak e̩ nyejefu ke̩ bo̩ dachi ka ki nugbe̩ tane̩ ñw atawa,180
abe̩le̩ ma ño̩ je̩ ñw atama ñmo̩te̩ odu o̩jo̩ le̩ ge̩ oñ ekekele kwane̩ i la bo̩ dachi i la ma e̩gba ki wa dachi n i la ma e̩gba ki kwane̩ n,140
abe̩le̩ amo̩ma lo̩t meji le̩ fefu nyo̩ ñw atama,47
oñ o̩mo̩gba le̩ fo̩ma e̩ne̩ke̩le̩ bi i la doduwñ ko̩ moab owñ le̩ chata abo moab gbogbo teñini,94
tak ekekele ño̩ fo̩ma e̩ne̩ke̩le̩ bi oñ i doduwñ ko̩ be̩nami owñ le̩ chata amo̩ma amo̩n gbogbo teñini,101
ebraham re̩ ka ku sara cho̩yawñ n,33
tak ebraham me̩re̩ ko nyule̩ kwo̩mo̩ to̩wo̩ o̩pata o̩gane̩ oñ i gugu agbagba kede̩sh kpai shur i la ge̩ne̩ ge̩rar,113
oñ ebraham no̩la o̩yawñ sara aka kakini owñ cho̩mayemi tak abime̩le̩k onu ge̩rar fone̩ kpe̩ wa oñ i mu sara du,110
ama o̩jo̩ lewa ugbo abime̩le̩k ef o̩na odu oñ i ka ñw u kakini go oku one̩ e̩ che todu onobule̩ ke̩ du le̩ todu o̩ya one̩ i che,127
abime̩le̩k la te̩mo̩ ta n oñ i kakini ondu e̩ ñakpa abo uche̩ichi o̩kpakpa ge̩,78
i chowñ onugo ka ñwu mi ka ko̩mayewñ i che n tonobule̩ onugo i ño̩ ka ko̩mayewñ i che ef o̩foo e̩do̩mi kpai o̩jali o̩wo̩mi oñ u chei,132
tak o̩jo̩ ka ñw u ef o̩na le̩ kakini ochochi u chema ka kef ofoo e̩do̩we̩ uwe̩ chei omi laño̩ gwo̩nyuwe̩ tode̩gba ke̩ du mi re todule̩ u ma je̩ ñw e̩ do̩wo̩kado n,162
todule̩ e̩ mo̩ya e̩ne̩ le̩ dudabi wa ñw u todu akache̩ i che tak owñ achadua tod uwe̩ oñ uwe̩ adeju i la che̩wñ ke̩ ma dowñ dabi te̩guwñ n e̩ ki ma ka kuwe̩ aku chuu uwe̩ kpai abo du kuwe̩ ne̩,192
tak abime̩le̩k takpa kwane̩ odudu oñ i fabuko̩lo̩wñ chaka do̩ wa i la fo̩lai du ka ñwu ma gbo̩ tak aboke̩le̩ le̩ kwo chokpo ololo,129
tak abime̩le̩k febraham do̩ oñ i ka ñw u kakini eke̩ che wai fa ugbo omi la du we̩ re kuwe̩ madure inaina kowa bomi kpai abo ojane̩mi ma e̩wñ ke̩ che mii i dukpe̩ kone̩ ki che n,177
tak abime̩le̩k ka ñw ebraham kakini ibe e̩wñ defuwe̩ ke̩ che e̩wñi,66
tak ebraham kakini todu omi do̩ ka ke̩gahi o̩jo̩ demi n ma la adu mi kpa todu o̩yami,84
anubi ele̩ ge̩ o̩matami i che ochochi i cho̩ma atami a muda niye n oñ i mud o̩yami,82
oñ i lewatu e̩gba ko̩jo̩ je̩ ñwu mi kwo bunyi atami te̩ toko oko ale e̩gbale̩ u ka ñw u kakini e̩nyo̩ ke̩ che ñwu mi de̩ ugbo du ka lewa uwe̩ ki no̩lami aka kakini o̩mayemi de̩,176
tak abime̩le̩k mamala kpai amo̩kokuno̩ kpai amadu e̩ne̩ke̩le̩ kpai onobule̩ ko ñw ebraham oñ i mo̩yawñ sara dudabi wa ñw u,122
tak abime̩le̩k kakini go ane̩mi to̩gbawe̩ le̩ ugbo ki nye̩ eju e̩ gugu,70
oñ i ka ñwu sara kakini go omi majifa icham nyo̩gwo̩ko̩ ko ñw o̩mayewe̩ me̩ go owñ le̩ che̩wñ ubejuwe̩ ma ugbo abo du ku ma jugbowe̩ ale ma da ñw e̩ eju e̩ne̩ du le̩,165
tak ebraham rodubo̩jo̩ oñ o̩jo̩ fo̩ga abime̩le̩k che kpai eo̩yawñ kpai eamaduwñ onobule̩ taku ma ño̩ chane̩ ebi o̩ma,116
todu jihofa fabio̩ma abobule̩ unyi abime̩le̩k chaka re todu sara o̩ya ebraham le̩,81
ma fu aise̩k bi,15
taku jihofa wa fejudo sara alu ki ka le̩ jihofa la che ñwu sara alu ki ko̩la ñw u,81
oñ sara fefunyo̩ i la fo̩ma e̩ne̩ke̩le̩ bi ñw ebraham o̩jo̩ ogijowñ iko ko̩jo̩ ko̩la tane̩ ñw u kpakpa,102
ebraham la do̩ odu o̩ma e̩ne̩ke̩le̩ ku ma bi ñw u owñ cheki sara bi ñw u le̩ ko̩ aise̩k,87
tak ebraham fe̩pi o̩mawñ aise̩k da o̩jo̩ e̩ke̩jo̩wñ alu ko̩jo̩ ñwa ñw u,71
o̩do̩ ebraham la cho̩do̩ ogume̩lu e̩gba ku ma fo̩mawñ aise̩k bi ñw u,68
taku sara kakini o̩jo̩ che̩wñ komi nyanyi e̩ne̩ du ki la gbo̩ abumi nyanyi,74
i laño̩ kakini e̩ne̩ ma ka ñw ebraham ka ki sara ade̩nya ñw o̩ma ñmo̩ todu u la fo̩ma e̩ne̩ke̩le̩ bi ñw u o̩jo̩ ogijowñ,119
o̩ma le̩ naya nyo̩gba i malu e̩nya da tak ebraham fuje̩wñ uyo̩ elile che o̩jo̩ ku ma je̩ ñw aise̩k dale̩nya,107
ma fu hega kpai ishmae̩l ne,27
sara fo̩ma ki hega e̩ne̩ ijipti le̩ bi ñw ebraham li abu ki ako̩ ru,67
todule̩ i ka ñw ebraham kakini madu onobule̩i du tinyo̩ kpai o̩mawñ todu o̩ma adu onobule̩i aje̩ e̩wñ ogu kpai o̩mami aise̩k in,127
e̩wñ le̩ la bie̩ne̩ tabale eju ebraham noji o̩mawñ le̩,54
tak o̩jo̩ ka ñw ebraham kakini i ki bie̩ne̩ ejuwe̩ todu okolobiai n kpai tod adu onobule̩we̩i n e̩wñ du ki sara aka ñw e̩ e̩ nagbomuwñ todu efu aise̩k ma ado̩ one̩ kugbe̩we̩,173
omi año̩ che̩ ko̩ma adu onobule̩i ki mud abo uche̩ichika todabu ki chugbe̩we̩,77
abe̩le̩ ebraham takpa kwane̩ odudu oñ i muje̩wñ kpai aiko omi du oñ i mu du ñwu hega i la mu du nikawñ i laño̩ mimo̩to̩ le̩ du ñw u tak i je̩ ñw u le oñ i kwo̩mo̩ i tale aje̩tachi birshiba,188
tak omi ef aiko le̩ takpa oñ i mimo̩to̩ le̩ du ro̩ tofe ejijika o̩mo̩,69
oñ i le nyaguguane̩ o̩wo̩kawñ o̩najiji alu ku ma neke to̩fa ki ale kade i kakini todu kimo̩to̩ le̩ ki diñmi nyumi o̩wo̩ n oñ i guguane̩ o̩wo̩kawñ tak i domuwñ nyate̩ araku,171
oñ o̩jo̩ gbo̩ omu imo̩to̩ le̩ tak onuche̩ o̩jo̩ nomudala kwef ojale ado̩ hega i ka ñw u kakini e̩wñ chuwe̩ hega e̩ ki chokpo n todu o̩jo̩ gbo̩ omu imo̩to̩ le̩ ugbo ki de̩,170
kwane̩ ke̩ mimo̩to̩ le̩ du kwane̩ e̩ gwo̩wo̩nyu todu nadowñ chuche̩ichi amone̩ ki nana,86
tak o̩jo̩ me eju chi oñ i fomi obuga li tak i le nakpa omiofo nyaiko le̩ e̩ko̩ oñ i mu du ñw imo̩to̩ le̩ ñmo̩,109
o̩jo̩ la dugbo imo̩to̩ le̩ oñ i nagbo̩kone̩ i la gugu aje̩tachi le̩ oñ i mud ato̩fa,83
i la gugu aje̩tachi paran oñ iyewñ fo̩ya ne̩ ñw u kwef abo ijipti,65
ebraham kpai abime̩le̩k kpalo,29
oñ i lewatu iko le̩ abime̩le̩k kpai fiko̩l agboji abo oguwñ ka ñw ebraham kakini o̩jo̩ dugbo we̩ ef e̩wñ du ke̩ che,115
todule̩ e̩ fo̩jo̩ go̩ ñwu mi emi ka ke̩ ñache e̩wñ olemi kpai omi kpai o̩mami kpai aajumi n chai likpa alu komi mo̩la ñw e̩ alu le̩ uwe̩ ache ñwu mi kpai ane̩ eke̩ ge̩ne̩ ojiwñi,177
tak ebraham kakini nago̩ abe̩le̩,32
tak ebraham do̩la biu abime̩le̩k todu omi obuga owñ chekamadu abime̩le̩k bo̩ gba afuma,86
tak abime̩le̩k kakini u ma e̩ne̩ ki chei no uwe̩ la ka ñwu mi n omi la gbo̩ n chai eñinii,89
tak ebraham mamala kpai amo̩kokuno̩ ko oñ i muma ko ñw abime̩le̩k tak ama meji kpalo,84
tak ebraham mamo̩ma ala eole mebie kojo̩ kpai o̩lama,52
oñ abime̩le̩k ka ñw ebraham kakini amo̩ma ala ole mebie ke̩ kojo̩ kpai o̩lamai fa e̩wñ chofewñ,94
oñ i kakini amo̩ma ala ole mebiei uwe̩ agba o̩wo̩mi ki chijalimi ka komi gwa obugai,83
todule̩ oñ i do̩ ugbo ki de̩ ko̩ birshiba todabu kama meji go̩ o̩mo̩,68
abe̩le̩ ma falo kpe̩ birshiba tak abime̩le̩k kpai fiko̩l agboji aboguwñ kwane̩ oñ ma mudabi tane̩ amafilistia,109
ebraham la foli tamarisk gbe̩ birshiba le̩ oñ o̩mo̩ le̩ i do̩ odu jihofa o̩jo̩ ogbegbele̩,89
ebraham la no̩jo̩ je̩ ane̩ amafilistia,38
o̩jo̩ je̩do̩ ekono ebraham ma,29
tak i lewatu ubi e̩wñi oñ o̩jo̩ jebraham ma i ka ñw u kakini ebraham oñ i kakini omi de̩,88
tak i kakini fai e̩ mo̩mawe̩ le̩ du owñ cho̩ma okpono ke̩ fe̩do̩ le̩ owñ chaise̩k ke̩ lo tane̩ moraya o̩mo̩ le̩ e̩ mowñ du wa chiche̩bo̩ e̩gujo noji uwoka komi aka ñw e̩,169
tak ebraham takpa kwane̩ odudu i la fofidi ji mubi o̩ke̩ke̩te̩wñ i mabokolobiawñ meji ko lebowñ manyaise̩k o̩mawñ i la fiji iche̩bo̩ e̩gujo le̩ kpana tak i kwane̩ i le tugbo ko̩jo̩ ka ñw u,188
o̩jo̩ e̩ke̩tawñ ebraham chi ejuwñ oñ i li ugbo le̩ o̩najiji,59
tak ebraham ka ñw abokolobiawñ kakini me̩ jemi kpai o̩ke̩ke̩te̩i oñ omi kpai imo̩to̩i anyano̩mo̩i a la adojikane̩ ñw o̩jo̩ tak a adabiwa ugbo me̩,145
tak ebraham miji e̩wñ e̩gujo le̩ du oñ i mudu no̩mawñ aise̩k oji i la muna kpai o̩be̩ du no̩wo̩ abe̩le̩ ama meji kpe̩re̩ alo,124
oñ aise̩k ka ñw ebraham atawñ kakini atami oñ i kakini omi de̩ o̩mami i kakini go una kpai iji de̩ ama ugbo o̩mala todu iche̩bo̩ e̩gujo de̩,139
tak ebraham kakini o̩mami o̩jo̩ ali o̩mala ñw o̩lawñ todu iche̩bo̩ e̩gujo abe̩le̩ amameji kpe̩re̩ alo,101
taku ma lewa ugbo ko̩jo̩ ka ñw u le̩ oñ ebraham fubo̩ iche̩bo̩ kpa o̩mo̩ tak i fiji te̩ru tak i fo̩mawñ aise̩k ji i la mu du dachi oj iji ubo̩ iche̩bo̩ le̩,155
tak ebraham no̩wo̩ dala oñ i mo̩be̩ du ki fo̩mawñ kpa,53
tak onuche̩ jihofa efojale kwado̩ i kakini ebraham ebraham oñ i je̩ kakini omi de̩,82
oñ i kakini e ki do̩wo̩we̩ kad imo̩to̩ le̩ n e̩ ki la cho abu du n todu fai u chema ka kuwe̩ adiba ñw o̩jo̩ abu kuwe̩ ma do̩wo̩mo̩mawe̩ eokpono ñw omi n,152
tak ebraham mejuwñ chi dago oñ i go me̩ go okoloka dago ubiwñ o̩mo̩ igbawñ gbaji tetutu tak ebraham le namokolo le̩ du oñ i mu du wa chiche̩bo̩ egujo koji o̩mawñ,161
tak ebraham dodu ugbo kide̩ ko̩ jihofajire alu ku ma ka to̩jo̩ olu eñini kakini oj uwo jihofa ma aliu,101
tak onuche̩ jihofa ño̩ dojale ado̩ ebraham onuke̩ji,51
i kaklni u fo̩lami go̩ jihofa kai todabu ke̩ fe̩wñi che ke̩ ma la do̩wo̩mo̩mawe̩ eokponowe̩ le̩ n,97
ka kede̩nyo̩ nade̩nyo̩ ñw e̩ ewewe nyo̩gba naje̩ ñw ugbe̩we̩ ki wewe nyo̩gba alu kawo ojale de̩ kpai alu ke̩lanyi ki deti ohimini abadi de̩ ugbe̩we̩ la agbalaku ame̩nebima,171
ef ugbe̩we̩ le̩ uche̩ichi amone̩ ojoji ojoji du ane̩ile̩i ali e̩nyo̩ todabu ke̩ gbomumi gbo̩,92
abe̩le̩ ebraham mudabi tugbo abokolobiawñ taku ma kwane̩ ma kpe̩re̩ le̩ tu birshiba oñ ebraham kwogugu birshiba,111
oñ i lewatu anubi e̩wñi ku ma ka ñw ebraham kakini go milka ño̩ famo̩ma bi ñw o̩mayewe̩ ne̩ho̩r le̩,99
uz cho̩mo̩gbawñ kpai buz o̩mayewñ e̩ne̩ke̩le̩ kpai kemue̩l ata aram,67
kpai che̩se̩d kpai hazo kpai pildash kpai jidlaf kpai be̩tue̩l,62
be̩tue̩l la fu ribe̩ka bi ama me̩jo̩ le̩ milka bi ñwu ne̩ho̩r o̩maye ebraham,76
oñ abaduwñ koduwñ ko̩ reuma ño̩ bi teba kpai gaham kpai tahash kpai maaka,73
sara leku oñ ma mu du ji makpila,32
o̩do̩ udeju sara la cho̩do̩ o̩gbo̩ me̩fa nyoke mebie o̩do̩ udeju sara la de̩,76
taku sara leku kiriatarba owñ che he̩bro̩n ane̩ kenan tak ebraham lewa ki neku sara ade̩ ki la rakuwñ,101
tak ebraham kwane̩ kwo̩gba okueguwñ le̩ oñ i ko̩la ñw amo̩ma he̩t kakini,72
ilowa omi che kpai e̩ne̩ ane̩ omune̩ ki dugbo me̩ ofofo fane̩ ugbo ku nakabomi ji bu ñwu mi ugbo me̩i ku kabomi ki ku ji bejumi te̩,131
tak amo̩ma he̩t dohi ñw ebraham kakini,38
e̩ gbomuwa odumi uwe̩ chidachi o̩jo̩ efuwai de̩ne̩we̩ ki ku ji ef ojinojiwa eo̩me̩me̩le̩ i ne̩ne̩ du efuwa ki ado̩wo̩mojinojiwñ ñw uwe̩ ke̩ ma ade̩ne̩we̩ ji n,158
tak ebraham kwane̩ oñ i te̩kpe̩ ñw amone̩ ane̩ le̩ owñ chamo̩ma he̩t,68
oñ i ko̩la ñwu ma kakini iche̩wñ ki du me̩ e̩do̩ ku naji e̩ne̩mi ki ku bejumi te̩ me̩ gbomumi ku me̩ chologu bifro̩n o̩ma zohar ñwu mi,134
ki mowo makpila ki ne̩ le̩ du ñwu mi owñ cheki doj okowñ o̩mo̩ le̩ alu ajawñ o̩gbolo i ata ñwu mi todu ku ne̩ ane̩ ugbo ku nakabomi ji alumejime̩i,146
ifro̩n la gugu alumeji amo̩ma he̩t o̩mo̩ tak ifro̩n e̩ne̩ he̩t le̩ mohi du ñw ebraham eju amo̩ma he̩t le̩ owñ cheju e̩ne̩ du ki gudu wa alaku ewowñ kakini,154
o̩da odumi e̩ gbemi ke o̩ko̩ kide̩ nadu ñw e̩ owo ki defuwñ nadu ñw e̩ eju amo̩ma abomii nadu ñw e̩i de̩ne̩we̩ ki ku ji ke,122
tak ebraham te̩kpe̩ wane̩ o̩gba amone̩ ane̩ le̩,47
